id,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
19219,0.5096189881023387,0.0011949853623948593,0.0038513346781688103,0.0001394887115946521,0.0126180211958716,0.16841471004410186,0.3052513541585546
19220,0.40982023463004924,0.024744848700329607,0.006925025995178366,0.00019882082709990075,0.1864970212599768,0.1638419425740518,0.36730136009489533
19221,0.0023173880216124263,0.03533944607551357,0.027025754580684833,0.0004942093240060499,0.011909884282595162,0.31823800917916856,0.4785770236900798
19222,0.20703252604363692,0.0019752942885187435,0.0008471081853758249,0.0015393909801187623,0.007306506299410443,0.3463521374139403,0.41171511421958656
19223,0.003236157898828305,0.00256451253595997,0.0010921294900615342,0.0023065139472365167,0.007514571635760798,0.5841870774246085,0.3704514569109982
19224,0.08546934977076863,0.254289827322937,0.002551155176724887,0.0001300504747336171,0.01537143398122034,0.08887485473957712,0.31653900836125026
19225,0.4436477555778563,0.002954444111977359,0.002687095931551968,0.00013641341440640768,0.02581355998012504,0.08622142928353525,0.47471031388903945
19226,0.010027166213887084,0.23203527490493284,0.004936911663070304,0.00809635973225717,0.016832781054555327,0.2286276322754279,0.42006891593775125
19227,0.0013021653148900338,0.2859488676869144,0.36120857405644746,0.0008231884760211652,0.00542578348387181,0.14178202982614638,0.3845134629532598
19228,0.30485941260224736,0.009147016039793093,0.0015803097793510256,0.00014466915161297797,0.0022393513444645408,0.19427715391001574,0.4016292290573565
19229,0.0017738432480055536,0.028748172409063622,0.0010652024640319681,0.008689892844806259,0.015420723928493576,0.3065324823640665,0.5000007485243104
19230,0.0008506649247022797,0.0010610003546823114,0.9322791345419846,0.0001711643540973084,0.00047116793807993544,0.002154693299679035,0.053952410307319336
19231,0.0009088030718238286,0.0008465608241814045,0.9565872222734446,0.0001711643540973084,0.00046233368451534165,0.002212010414658541,0.047417047574071725
19232,0.06893819179327904,0.014214931410532936,0.0012499203825679912,0.00014308531395171113,0.021023507183135306,0.10636369494051817,0.627413252542089
19233,0.002331618484144991,0.012574053195301558,0.0010309540693005702,0.005695345273517893,0.012856005715508406,0.3782639943055121,0.4015339148924674
19234,0.001765396168066724,0.013395097489756898,0.0014083290954596027,0.0011786250104733372,0.01197025970854966,0.45422161322308835,0.4390586369037449
19235,0.019204073142787628,0.006040525836318903,0.0009240350035149673,0.0008614798484128067,0.002301466264930599,0.7023263215411175,0.21622283689918712
19236,0.05026727005734735,0.013732016326873512,0.03752178058301716,0.00023856026305094894,0.1373188860705915,0.19874794733934342,0.4696152482363647
19237,0.12001838639176583,0.0011050532030784377,0.0007772633802942708,0.001192041881186871,0.0025661170143838805,0.5729447094956627,0.273742524663133
19238,0.0016007263020387291,0.4566742442079284,0.0013915573448204167,0.0033704623256614118,0.003677386490195413,0.2562842723588374,0.3423325777520735
19239,0.0005454007347213371,0.0008485024672546596,0.9542963522076704,0.00017945904966069608,0.0005126588078014811,0.002232780185256826,0.055847655307608705
19240,0.1711520451822061,0.0013940245617222798,0.0013230623762468348,0.000627018002966672,0.02694395705324443,0.20127254856451307,0.5431002676505986
19241,0.00535154607007486,0.0034735593979665007,0.0012483700752214208,0.0003753030303302673,0.01898289235302938,0.3408195336860978,0.4808243792567714
19242,0.0011287851482897917,0.0006479731162524758,0.9462656117265458,0.00021675339213381536,0.000657447040900063,0.0021750220060650703,0.06365947108168546
19243,0.027391016223323413,0.41808192866531213,0.004355614498751261,0.00016257581823844733,0.005043633218695538,0.2531263286675851,0.3107592461867651
19244,0.0006299386758419161,0.0009500175986307804,0.9543228029579759,0.00017130137080809666,0.0004653403864999553,0.0021637093757241503,0.04948841953737035
19245,0.1451991269246564,0.02806240810469798,0.0014869867523099774,0.00015939860050948786,0.006128377284347462,0.16806297409854554,0.5252525226551706
19246,0.27700978725607406,0.017435112995889034,0.002704215932419123,0.00019030367003740323,0.031179830981428097,0.12547749458419288,0.3511218334793948
19247,0.010468700746027654,0.3361716656110463,0.0311946172520166,0.00029005176248117937,0.00727830752373061,0.2618579813184878,0.3098340180465457
19248,0.0007436838190808967,0.0037211878199752066,0.8393625705293384,0.00017501552734607365,0.0008834791343265595,0.006474975154332061,0.10338890832543945
19249,0.012121551730130697,0.014701090588350191,0.0007633462785683719,0.00036388413326012865,0.0020668813753966656,0.514025820084651,0.3682579719335277
19250,0.0034055327987680462,0.0025093687170056438,0.0030543159438138497,0.733000200607614,0.02013180102696789,0.031209916717395463,0.3510236582551423
19251,0.07026218020796389,0.0012241215966618593,0.0008439746018743799,0.0007049478498333581,0.005068315476395481,0.5741128609144845,0.29336102787899115
19252,0.013436119371785238,0.15507983300379533,0.0009684559162891834,0.0004883287712469485,0.003097170642788894,0.39509870923534574,0.2816963103525623
19253,0.013654388666960426,0.0013787232361825589,0.4787509393385967,0.0013544002285597891,0.003800398146174437,0.15104308244365913,0.359715349297131
19254,0.0017657775225583367,0.04654847023831839,0.0015673547240857828,0.001473494779992627,0.005606154598798723,0.2885076571593168,0.5594087351340433
19255,0.3689714294061306,0.0009662641458640984,0.0014570307215673922,0.00015328543490238878,0.007305326165734999,0.15617497272186434,0.4686046880208014
19256,0.012888644332746751,0.8049479432896697,0.0008675408425126996,0.0007393676587534514,0.003394592412302519,0.09759770922434291,0.2760840098208912
19257,0.10176466993009706,0.03381786326831206,0.01452233647020615,0.0003295413661621266,0.09510008991392657,0.28940226152337817,0.3691702668478872
19258,0.2486201974677935,0.005325217602179754,0.0011481571465297726,0.0002961000167707957,0.0016860270907958959,0.23965177494116924,0.5430454231895357
19259,0.0006239551415600165,0.0008137807132225136,0.9570836057442653,0.00017130137080809666,0.0004697159848821012,0.0028775577349991646,0.0498979260524921
19260,0.01297954925719085,0.12771173187047755,0.004271742392390499,0.00016511756025974777,0.02434057851907745,0.23805556880189932,0.4165252808005219
19261,0.039684145969521384,0.009539440994574268,0.519851361273064,0.00017481207363637848,0.005578445134717155,0.03614881723280584,0.21909819092347485
19262,0.15273705995192416,0.027112747356535852,0.0014741416451941002,0.00017134190275789132,0.03306981460166587,0.26004094696594326,0.32486849068861395
19263,0.08681400118558355,0.0060289632148949335,0.0008838582572906334,0.0010980803676318024,0.009780767303068826,0.42768455938586364,0.3600060200327301
19264,0.036089330665284455,0.0028046063101376368,0.0008216953486186138,0.0005840261804632633,0.00383684151055684,0.6379228953225713,0.3186528229299481
19265,0.016821994327204857,0.009761866113131824,0.0007874907217199561,0.0017455488984323725,0.0075039849360266754,0.42641448516264585,0.4913095775369484
19266,0.0007404114950521285,0.0014626699387076142,0.9291257114700274,0.00016884818473689753,0.00045985441588596634,0.0030234819130574814,0.06650859871279433
19267,0.1478973590325246,0.006380101949515801,0.000948471450320624,0.00033532370548715215,0.12545770281642113,0.32221077576052726,0.3122492916577688
19268,0.002385010212952875,0.024331234554179824,0.0027860766566589344,0.0009637410746235578,0.0059865074059469135,0.19764122187327968,0.6796293961171618
19269,0.0005868526959409249,0.0009189960352013642,0.9377595232163404,0.00017068320716752885,0.0005188421775635012,0.0022400575407443457,0.0525675084413487
19270,0.2848268699232314,0.005060695981344881,0.008389182109771123,0.00021021184683162254,0.7674485446818397,0.03510840592322164,0.1971813886169543
19271,0.005494702562655283,0.01858285073765937,0.04658561484795857,0.0005295521127173595,0.013175834237834323,0.2891156113705663,0.5803181850222
19272,0.2800185002408604,0.009814258908412317,0.025353935086730724,0.00024895588592699087,0.030789488469428045,0.37290590181547373,0.30678639062502133
